Subsector,Good,Location,Year,Demand,,,
Shipping,Shipping,Hamburg,2030,171.00,,,
Shipping,Shipping,Hamburg,2035,171.00,,,
Shipping,Shipping,Hamburg,2040,171.00,,,
Shipping,Shipping,Hamburg,2045,171.00,,,
Shipping,Shipping,Hamburg,2050,171.00,,,
Hvc,Aromatics/Olefins,Leverkusen,2030,167.00,,,
Hvc,Aromatics/Olefins,Leverkusen,2035,167.00,,,
Hvc,Aromatics/Olefins,Leverkusen,2040,167.00,,, 
Hvc,Aromatics/Olefins,Leverkusen,2045,167.00,,,
Hvc,Aromatics/Olefins,Leverkusen,2050,167.00,,,
Fertilizer,Fertilizer,Ludwigshafen,2030,130.00,,,
Fertilizer,Fertilizer,Ludwigshafen,2035,130.00,,,
Fertilizer,Fertilizer,Ludwigshafen,2040,130.00,,,
Fertilizer,Fertilizer,Ludwigshafen,2045,130.00,,,
Fertilizer,Fertilizer,Ludwigshafen,2050,130.00,,,
Aviation,Aviation,Frankfurt,2030,280.00,,,
Aviation,Aviation,Frankfurt,2035,280.00,,,
Aviation,Aviation,Frankfurt,2040,280.00,,,
Aviation,Aviation,Frankfurt,2045,280.00,,,
Aviation,Aviation,Frankfurt,2050,280.00,,,
Steel,Steel,Duisburg,2030,250.00,,,
Steel,Steel,Duisburg,2035,250.00,,,
Steel,Steel,Duisburg,2040,250.00,,,
Steel,Steel,Duisburg,2045,250.00,,,
Steel,Steel,Duisburg,2050,250.00,,,
