process,year,Value
Btm,2020,3
Btm,2030,9
Btm,2035,9
Btm,2040,9
Btm,2045,9
Btm,2050,9
FT,2020,0.47
FT,2030,0.38
FT,2035,0.33
FT,2040,0.29
FT,2045,0.24
FT,2050,0.19
Hb,2020,0.00
Hb,2030,28.47
Hb,2035,25.88
Hb,2040,23.29
Hb,2045,20.57
Hb,2050,17.86
Mto/Mta,2020,40.75
Mto/Mta,2030,40.75
Mto/Mta,2035,40.75
Mto/Mta,2040,40.75
Mto/Mta,2045,40.75
Mto/Mta,2050,40.75
Nto/Nta,2020,226.48
Nto/Nta,2030,226.48
Nto/Nta,2035,226.48
Nto/Nta,2040,226.48
Nto/Nta,2045,226.48
Nto/Nta,2050,226.48
Offwind,2020,50
Offwind,2030,39
Offwind,2035,37
Offwind,2040,34
Offwind,2045,34
Offwind,2050,33
Onwind,2020,16
Onwind,2030,15
Onwind,2035,14
Onwind,2040,14
Onwind,2045,13
Onwind,2050,13
Pv,2030,0
Pv,2035,0
Pv,2040,0
Pv,2045,0
Pv,2050,0
Dri,2030,394.40
Dri,2035,394.40
Dri,2040,394.40
Dri,2045,394.40
Dri,2050,394.40
Bof,2030,200.00
Bof,2035,200.00
Bof,2040,200.00
Bof,2045,200.00
Bof,2050,200.00
LNG ICE,2030,65.84
LNG ICE,2035,65.84
LNG ICE,2040,65.84
LNG ICE,2045,65.84
LNG ICE,2050,65.84
MeOH ICE,2030,47.20
MeOH ICE,2035,47.20
MeOH ICE,2040,47.20
MeOH ICE,2045,47.20
MeOH ICE,2050,47.20
Conventional ICE,2030,45.43
Conventional ICE,2035,45.43
Conventional ICE,2040,45.43
Conventional ICE,2045,45.43
Conventional ICE,2050,45.43
NH3 ICE,2030,92.51
NH3 ICE,2035,92.51
NH3 ICE,2040,92.51
NH3 ICE,2035,92.51
NH3 ICE,2050,92.51
Smr,2030,736.36
Smr,2035,736.36
Smr,2040,736.36
Smr,2045,736.36
Smr,2050,736.36
SmrCCTS,2030,936.36
SmrCCTS,2035,936.36
SmrCCTS,2040,936.36
SmrCCTS,2045,936.36
SmrCCTS,2050,936.36
