Process,Steel,Fertilizer,Hvc,Shipping,Aviation,Producer,LC Producer,Port
MeOH ICE,0,0,0,1,0,0,0,0
Conventional ICE,0,0,0,1,0,0,0,0
NH3 ICE,0,0,0,1,0,0,0,0
H2 ICE,0,0,0,1,0,0,0,0
LNG ICE,0,0,0,1,0,0,0,0
Smr,0,1,0,0,0,0,0,0
SmrCCTS,0,0,0,0,0,0,1,0
Fertilizer Synthesis,0,1,0,0,0,0,0,0
Bof,1,0,0,0,0,0,0,0
Dri,1,0,0,0,0,0,0,0
MeOHSyn,0,0,1,0,0,1,1,0
Nto/Nta,0,0,1,0,0,0,0,0
Mto/Mta,0,0,1,0,0,0,0,0
FT,0,0,0,0,1,0,0,0
Esc,0,0,1,0,0,0,0,0
El,0,0,0,0,0,1,0,0
Dac,0,0,1,0,1,1,1,0
Asu,0,1,0,0,0,1,1,0
Hb,0,1,0,0,0,1,1,0
Btm,0,0,1,0,0,1,1,0
Pv,0,0,0,0,0,1,1,0
Onwind,0,0,0,0,0,1,1,0
Offwind,0,0,0,0,0,0,0,0
AmCr,0,0,0,0,0,0,0,1
H2Liq,0,0,0,0,0,0,0,1
H2Eva,0,0,0,0,0,0,0,1
H2gP,0,0,0,0,0,0,0,0
NH3lP,0,0,0,0,0,0,0,0
MeOHlP,0,0,0,0,0,0,0,0
JetEngine,0,0,0,0,1,0,0,0
