Fuel,Industry,FuelUse
Biodiesel,Steel,0
Biodiesel,Fertilizer,0
Biodiesel,Hvc,0
Biodiesel,Shipping,1
Biodiesel,Aviation,1
Biodiesel,Port,0
Biomass,Steel,0
Biomass,Fertilizer,0
Biomass,Hvc,1
Biomass,Shipping,0
Biomass,aviation,0
Biomass,MeOH Producer,1
Biomass,Port,0
BMeOH,Steel,0
BMeOH,Fertilizer,0
BMeOH,Hvc,1
BMeOH,Shipping,1
BMeOH,Aviation,0
BMeOH,H2 Producer,0
BMeOH,NH3 Producer,0
BMeOH,MeOH Producer,0
BMeOH,Port,0
BtL,Steel,0
BtL,Fertilizer,0
BtL,Hvc,0
BtL,Shipping,0
BtL,Aviation,0
BtL,Port,0
CO,Steel,0
CO,Fertilizer,0
CO,Hvc,1
CO,Shipping,0
CO,Aviation,0
CO,Port,0
CO2,Steel,0
CO2,Fertilizer,0
CO2,Hvc,1
CO2,Shipping,0
CO2,Aviation,0
CO2,MeOH Producer,1
CO2,Port,0
Coal,Steel,1
Coal,Fertilizer,0
Coal,Hvc,0
Coal,Shipping,0
Coal,Aviation,0
Coal,Port,0
E-Kerosene,Steel,0
E-Kerosene,Fertilizer,0
E-Kerosene,Hvc,0
E-Kerosene,Shipping,0
E-Kerosene,Aviation,0
E-Kerosene,Port,0
Electricity,Steel,1
Electricity,Fertilizer,1
Electricity,Hvc,1
Electricity,Shipping,0
Electricity,Aviation,0
Electricity,H2 Producer,1
Electricity,NH3 Producer,1
Electricity,MeOH Producer,1
Electricity,Port,0
FT,Steel,0
FT,Fertilizer,0
FT,Hvc,0
FT,Shipping,0
FT,Aviation,1
FT,Port,0
Gas,Steel,1
Gas,Fertilizer,1
Gas,Hvc,0
Gas,Shipping,1
Gas,Aviation,0
Gas,Port,0
H2,Steel,1
H2,Fertilizer,1
H2,Hvc,1
H2,Shipping,1
H2,Aviation,1
H2,Port,1
H2,H2 Producer,1
H2,MeOH Producer,1
H2,N+,1
HCH2,Steel,1
HCH2,Fertilizer,1
HCH2,Hvc,0
HCH2,Shipping,1
HCH2,Aviation,0
HCH2,Port,0
HCH2,H2 Producer,0
HCH2,NH3 Producer,0
HCH2,MeOH Producer,0
HEFA,Steel,0
HEFA,Fertilizer,0
HEFA,Hvc,0
HEFA,Shipping,0
HEFA,Aviation,0
HEFA,Port,0
JetA,Steel,0
JetA,Fertilizer,0
JetA,Hvc,0
JetA,Shipping,0
JetA,Aviation,1
JetA,Port,0
LCH2,Steel,1
LCH2,Fertilizer,1
LCH2,Hvc,1
LCH2,Shipping,1
LCH2,Aviation,0
LCH2,Port,0
LCH2,H2 Producer,0
LCH2,NH3 Producer,0
LCH2,MeOH Producer,0
LCMeOH,Steel,1
LCMeOH,Fertilizer,0
LCMeOH,Hvc,1
LCMeOH,Aviation,0
LCMeOH,Steel,0
LCMeOH,Fertilizer,0
LCMeOH,Hvc,1
LCMeOH,Shipping,1
LCMeOH,Aviation,0
LCMeOH,H2 Producer,0
LCMeOH,NH3 Producer,0
LCMeOH,MeOH Producer,0
LCMeOH,Port,0
LH2,Steel,0
LH2,Fertilizer,0
LH2,Hvc,0
LH2,Shipping,0
LH2,aviation,0
LH2,H2 Producer,0
LH2,NH3 Producer,0
LH2,MeOH Producer,0
LH2,Port,1
LNG,Steel,0
LNG,Fertilizer,0
LNG,Hvc,0
LNG,Shipping,1
LNG,Aviation,1
LNG,Port,0
MeOH,Steel,0
MeOH,Fertilizer,0
MeOH,Hvc,1
MeOH,Shipping,1
MeOH,Aviation,0
MeOH,Port,1
MGO,Steel,0
MGO,Fertilizer,0
MGO,Hvc,0
MGO,Shipping,1
MGO,Aviation,1
MGO,Port,0
N,Fertilizer,1
Naphtha,Steel,0
Naphtha,Fertilizer,0
Naphtha,Hvc,1
Naphtha,Shipping,0
Naphtha,Aviation,0
Naphtha,Port,0
NH3,Steel,0
NH3,Fertilizer,1
NH3,Hvc,0
NH3,Shipping,1
NH3,Aviation,0
NH3,Port,1
