Fuel,Year,RFNBO
H2,2030,1
H2,2035,1
H2,2040,1
H2,2045,1
H2,2050,1
NH3,2030,1
NH3,2035,1
NH3,2040,1
NH3,2045,1
NH3,2050,1
MeOH,2030,1
MeOH,2035,1
MeOH,2040,1
MeOH,2045,1
MeOH,2050,1
E-Kerosene,2030,1
E-Kerosene,2035,1
E-Kerosene,2040,1
E-Kerosene,2045,1
E-Kerosene,2050,1
FT,2030,1
FT,2035,1
FT,2040,1
FT,2045,1
FT,2050,1
Gas,2030,0
Gas,2035,0
Gas,2040,0
Gas,2045,0
Gas,2050,0
Coal,2030,0
Coal,2035,0
Coal,2040,0
Coal,2045,0
Coal,2050,0
MGO,2030,0
MGO,2035,0
MGO,2040,0
MGO,2045,0
MGO,2050,0
BtL,2030,0
BtL,2035,0
BtL,2040,0
BtL,2045,0
BtL,2050,0
LNG,2030,0
LNG,2035,0
LNG,2040,0
LNG,2045,0
LNG,2050,0
Biodiesel,2030,0
Biodiesel,2035,0
Biodiesel,2040,0
Biodiesel,2045,0
Biodiesel,2050,0
HEFA,2030,0
HEFA,2035,0
HEFA,2040,0
HEFA,2045,0
HEFA,2050,0
JetA,2030,0
JetA,2035,0
JetA,2040,0
JetA,2045,0
JetA,2050,0
Naphtha,2030,0
Naphtha,2035,0
Naphtha,2040,0
Naphtha,2045,0
Naphtha,2050,0
Electricity,2030,0.5
Electricity,2035,0.5
Electricity,2040,0.5
Electricity,2045,0.5
Electricity,2050,0.5
CO,2030,0
CO,2035,0
CO,2040,0
CO,2045,0
CO,2050,0
CO2,2030,0
CO2,2035,0
CO2,2040,0
CO2,2045,0
CO2,2050,0
Biomass,2030,0
Biomass,2035,0
Biomass,2040,0
Biomass,2045,0
Biomass,2050,0
HCH2,2030,0
HCH3,2035,0
HCH4,2040,0
HCH5,2045,0
HCH6,2050,0
LCH2,2030,0.6
LCH2,2035,0.68173162
LCH2,2040,0.774596669
LCH2,2045,0.880111737
LCH2,2050,1
LCMeOH,2030,0.6
LCMeOH,2035,0.68173162
LCMeOH,2040,0.774596669
LCMeOH,2045,0.880111737
LCMeOH,2050,1
LCNH3,2030,0.6
LCNH3,2035,0.68173162
LCNH3,2040,0.774596669
LCNH3,2045,0.880111737
LCNH3,2050,1
BMeOH,2030,0
BMeOH,2035,0
BMeOH,2040,0
BMeOH,2045,0
BMeOH,2050,0
