Industry,Location,Year,Value
Hvc,Leverkusen,2030,85.35867725760302
Hvc,Leverkusen,2035,8.33452072517737
Hvc,Leverkusen,2040,0.0
Hvc,Leverkusen,2045,0.0
Hvc,Leverkusen,2050,0.0
Fertilizer,Ludwigshafen,2030,4.849877620519937
Fertilizer,Ludwigshafen,2035,10.255494835698183
Fertilizer,Ludwigshafen,2040,0.0
Fertilizer,Ludwigshafen,2045,0.0
Fertilizer,Ludwigshafen,2050,0.0
Shipping,Hamburg,2030,0.0
Shipping,Hamburg,2035,0.0
Shipping,Hamburg,2040,0.0
Shipping,Hamburg,2045,0.0
Shipping,Hamburg,2050,0.0
Steel,Duisburg,2030,292.9627308805924
Steel,Duisburg,2035,0.0
Steel,Duisburg,2040,0.0
Steel,Duisburg,2045,0.0
Steel,Duisburg,2050,0.0
